access_url,geometry,dataset
https://maps.amsterdam.nl/open_geodata?GELUID_VERKEER,RegionDataSet,ContourDS
https://maps.amsterdam.nl/open_geodata?WONINGWAARDE_2018_INFLATIE,RegionDataSet,ContourDS
https://maps.amsterdam.nl/open_geodata?WELSTAND_NIVEAUS,VectorTessellation,CoverageDS
https://maps.amsterdam.nl/open_geodata?WELSTAND_SYSTEMEN,VectorTessellation,CoverageDS
https://maps.amsterdam.nl/open_geodata?GRONDGEBRUIK_2017,VectorTessellation,CoverageDS
https://maps.amsterdam.nl/open_geodata?OVERNACHTINGSBELEID,VectorTessellation,CoverageDS
https://maps.amsterdam.nl/open_geodata?PARKEERNORMEN,VectorTessellation,CoverageDS
https://maps.amsterdam.nl/open_geodata?WOII,PointDataSet,EventDS
https://maps.amsterdam.nl/open_geodata?STADSLOODS,PointDataSet,EventDS
https://maps.amsterdam.nl/open_geodata?BIJEN,PointDataSet,EventDS
https://maps.amsterdam.nl/open_geodata?EPR_NESTEN,RegionDataSet,EventDS
https://maps.amsterdam.nl/open_geodata/?k=192,VectorTessellation,LatticeDS
https://maps.amsterdam.nl/open_geodata/?k=204,VectorTessellation,LatticeDS
https://maps.amsterdam.nl/open_geodata/?k=154,LineDataSet,LineMeasuresDS
https://maps.amsterdam.nl/open_geodata?VONDELPARK_ZITBANKEN,PointDataSet,ObjectDS
https://maps.amsterdam.nl/open_geodata/?k=273,PointDataSet,ObjectDS
https://maps.amsterdam.nl/open_geodata/?k=232,PointDataSet,ObjectDS
https://maps.amsterdam.nl/open_geodata/?k=87,PointDataSet,ObjectDS
https://maps.amsterdam.nl/open_geodata/?k=93,PointDataSet,ObjectDS
https://maps.amsterdam.nl/open_geodata/?k=62,PointDataSet,ObjectDS
https://maps.amsterdam.nl/open_geodata/?k=228,PointDataSet,ObjectDS
https://maps.amsterdam.nl/open_geodata/?k=96,PointDataSet,ObjectDS
https://maps.amsterdam.nl/open_geodata/?k=51,PointDataSet,ObjectDS
https://maps.amsterdam.nl/open_geodata/?k=136,PointDataSet,ObjectDS
https://maps.amsterdam.nl/open_geodata/?k=58,PointDataSet,ObjectDS
https://maps.amsterdam.nl/open_geodata/?k=123,PointDataSet,ObjectDS
https://maps.amsterdam.nl/open_geodata/?k=68,PointDataSet,ObjectDS
https://maps.amsterdam.nl/open_geodata/?k=155,PointDataSet,ObjectDS
https://maps.amsterdam.nl/open_geodata/?k=141,PointDataSet,ObjectDS
https://maps.amsterdam.nl/open_geodata/?k=272,PointDataSet,ObjectDS
https://maps.amsterdam.nl/open_geodata/?k=240,PointDataSet,ObjectDS
https://maps.amsterdam.nl/open_geodata/?k=264,PointDataSet,ObjectDS
https://maps.amsterdam.nl/open_geodata/?k=251,PointDataSet,ObjectDS
https://maps.amsterdam.nl/open_geodata?SPORT_OPENBAAR,PointDataSet,ObjectDS
https://maps.amsterdam.nl/open_geodata/?k=218,PointDataSet,ObjectDS
https://maps.amsterdam.nl/open_geodata/?k=182,PointDataSet,ObjectDS
https://maps.amsterdam.nl/open_geodata/?k=61,PointDataSet,ObjectDS
https://maps.amsterdam.nl/open_geodata/?k=296,PointDataSet,ObjectDS
https://maps.amsterdam.nl/open_geodata/?k=115,PointDataSet,ObjectDS
https://maps.amsterdam.nl/open_geodata/?k=290,RegionDataSet,ObjectDS
https://maps.amsterdam.nl/open_geodata/?k=279,RegionDataSet,ObjectDS
https://maps.amsterdam.nl/open_geodata/?k=301,RegionDataSet,ObjectDS
https://maps.amsterdam.nl/open_geodata/?k=208,RegionDataSet,ObjectDS
https://maps.amsterdam.nl/open_geodata/?k=166,RegionDataSet,ObjectDS
https://maps.amsterdam.nl/open_geodata/?k=49,RegionDataSet,ObjectDS
https://maps.amsterdam.nl/open_geodata/?k=224,LineDataSet,NetworkDS
https://maps.amsterdam.nl/open_geodata/?k=275,LineDataSet,NetworkDS
https://maps.amsterdam.nl/open_geodata/?k=265,LineDataSet,NetworkDS
https://maps.amsterdam.nl/open_geodata/?k=233,LineDataSet,NetworkDS
https://maps.amsterdam.nl/open_geodata/?k=84,LineDataSet,NetworkDS
https://maps.amsterdam.nl/open_geodata/?k=299,LineDataSet,NetworkDS
https://maps.amsterdam.nl/open_geodata/?k=220,LineDataSet,NetworkDS
https://maps.amsterdam.nl/open_geodata?WALKABILITY,LineDataSet,NetworkDS
https://maps.amsterdam.nl/open_geodata/?k=63,PointDataSet,ObjectDS
https://maps.amsterdam.nl/open_geodata/?k=99,RegionDataSet,ObjectDS
https://maps.amsterdam.nl/open_geodata/?k=106,PointDataSet,PointMeasuresDS
https://maps.amsterdam.nl/open_geodata/?k=319,RegionDataSet,PatchDS
https://maps.amsterdam.nl/open_geodata/?k=57,VectorTessellation,PatchDS
https://maps.amsterdam.nl/open_geodata?HOOFDGROENSTRUCTUUR,RegionDataSet,ObjectDS
https://maps.amsterdam.nl/open_geodata/?k=242,RegionDataSet,ObjectDS
https://maps.amsterdam.nl/open_geodata/?k=247,PointDataSet,ObjectDS
